Frame 267, Green Left Cheek: 116.80081925243215, Green Right Cheek: 109.32627865961199
Frame 268, Green Left Cheek: 116.7826420890937, Green Right Cheek: 109.4472159234064
Frame 269, Green Left Cheek: 116.80721966205837, Green Right Cheek: 109.38851095993954
Frame 270, Green Left Cheek: 116.74782386072708, Green Right Cheek: 109.42882338120434
Frame 271, Green Left Cheek: 116.7831541218638, Green Right Cheek: 109.49559082892416
Frame 272, Green Left Cheek: 116.68407578084998, Green Right Cheek: 109.54295792391031
Frame 273, Green Left Cheek: 116.71915002560164, Green Right Cheek: 109.46182917611489
Frame 274, Green Left Cheek: 116.7432155657962, Green Right Cheek: 109.57042076089695
Frame 275, Green Left Cheek: 116.61136712749617, Green Right Cheek: 109.52380952380952
Frame 276, Green Left Cheek: 116.58806963645674, Green Right Cheek: 109.46938775510205
Frame 277, Green Left Cheek: 116.41653865847414, Green Right Cheek: 109.38825900730663
Frame 278, Green Left Cheek: 116.42114695340501, Green Right Cheek: 109.37994457042076
Frame 279, Green Left Cheek: 116.489503328213, Green Right Cheek: 109.37641723356009
Frame 280, Green Left Cheek: 116.38479262672811, Green Right Cheek: 109.35374149659864
Frame 281, Green Left Cheek: 116.37864823348694, Green Right Cheek: 109.33434114386495
Frame 282, Green Left Cheek: 116.38172043010752, Green Right Cheek: 109.27891156462584
Frame 283, Green Left Cheek: 116.32078853046595, Green Right Cheek: 109.24313429075333
Frame 284, Green Left Cheek: 116.21786994367639, Green Right Cheek: 109.3013353489544
Frame 285, Green Left Cheek: 116.23732718894009, Green Right Cheek: 109.36306374401613
Frame 286, Green Left Cheek: 116.14900153609831, Green Right Cheek: 109.39153439153439
Frame 287, Green Left Cheek: 116.0353302611367, Green Right Cheek: 109.3466868228773
Frame 288, Green Left Cheek: 116.10931899641577, Green Right Cheek: 109.35726883345932
Frame 289, Green Left Cheek: 116.1116231438812, Green Right Cheek: 109.2665658856135
Frame 290, Green Left Cheek: 116.20404505888376, Green Right Cheek: 109.28369866465104
Frame 291, Green Left Cheek: 116.22094214029698, Green Right Cheek: 109.29050138573947
Frame 292, Green Left Cheek: 116.1984126984127, Green Right Cheek: 109.24842529604435
Frame 293, Green Left Cheek: 116.14848950332821, Green Right Cheek: 109.18442932728647
Frame 294, Green Left Cheek: 116.3205325140809, Green Right Cheek: 109.24489795918367
Frame 295, Green Left Cheek: 116.27598566308244, Green Right Cheek: 109.27891156462584
Frame 296, Green Left Cheek: 116.32642089093702, Green Right Cheek: 109.25321239606954
Frame 297, Green Left Cheek: 116.36763952892986, Green Right Cheek: 109.23456790123457
Frame 298, Green Left Cheek: 116.41679467485919, Green Right Cheek: 109.26001511715798
Frame 299, Green Left Cheek: 116.51203277009729, Green Right Cheek: 109.23960695389268
Frame 300, Green Left Cheek: 116.53635432667691, Green Right Cheek: 109.30536659108088
Frame 301, Green Left Cheek: 116.63671274961598, Green Right Cheek: 109.35323759133283
Frame 302, Green Left Cheek: 116.68279569892474, Green Right Cheek: 109.427059712774
Frame 303, Green Left Cheek: 116.8041474654378, Green Right Cheek: 109.47014361300076
Frame 304, Green Left Cheek: 116.78520225294419, Green Right Cheek: 109.53993449231544
Frame 305, Green Left Cheek: 116.85560675883256, Green Right Cheek: 109.52683295540439
Frame 306, Green Left Cheek: 116.84818228366615, Green Right Cheek: 109.52179390274628
Frame 307, Green Left Cheek: 116.9521249359959, Green Right Cheek: 109.56487780297304
Frame 308, Green Left Cheek: 116.95673323092677, Green Right Cheek: 109.47568657092467
Frame 309, Green Left Cheek: 116.87403993855607, Green Right Cheek: 109.48500881834215
Frame 310, Green Left Cheek: 116.91244239631337, Green Right Cheek: 109.47845804988663
Frame 311, Green Left Cheek: 116.99923195084486, Green Right Cheek: 109.40765936004031
Frame 312, Green Left Cheek: 117.03891449052739, Green Right Cheek: 109.43487024439405
Frame 313, Green Left Cheek: 117.00204813108039, Green Right Cheek: 109.41093474426808
Frame 314, Green Left Cheek: 117.00563236047107, Green Right Cheek: 109.40312421264802
Frame 315, Green Left Cheek: 117.11879160266257, Green Right Cheek: 109.38321995464852
Frame 316, Green Left Cheek: 117.22247823860727, Green Right Cheek: 109.291761148904
Frame 317, Green Left Cheek: 117.28341013824885, Green Right Cheek: 109.35021415973797
Frame 318, Green Left Cheek: 117.46518177163338, Green Right Cheek: 109.44318468127992
Frame 319, Green Left Cheek: 117.46850998463901, Green Right Cheek: 109.47266313932981
Frame 320, Green Left Cheek: 117.49359959037379, Green Right Cheek: 109.49937011841774
Frame 321, Green Left Cheek: 117.58038914490527, Green Right Cheek: 109.41093474426808
Frame 322, Green Left Cheek: 117.67588325652842, Green Right Cheek: 109.47039556563367
Frame 323, Green Left Cheek: 117.68996415770609, Green Right Cheek: 109.50340136054422
Frame 324, Green Left Cheek: 117.7168458781362, Green Right Cheek: 109.44469639707735
Frame 325, Green Left Cheek: 117.65412186379929, Green Right Cheek: 109.41572184429327
Frame 326, Green Left Cheek: 117.58166922683051, Green Right Cheek: 109.39606953892668
Frame 327, Green Left Cheek: 117.58499743983614, Green Right Cheek: 109.46661627614009
Frame 328, Green Left Cheek: 117.60599078341014, Green Right Cheek: 109.5427059712774
Frame 329, Green Left Cheek: 117.53584229390681, Green Right Cheek: 109.47064751826656
Frame 330, Green Left Cheek: 117.47286226318485, Green Right Cheek: 109.57067271352986
Frame 331, Green Left Cheek: 117.56067588325652, Green Right Cheek: 109.572940287226
Frame 332, Green Left Cheek: 117.50025601638505, Green Right Cheek: 109.63013353489544
Frame 333, Green Left Cheek: 117.47414234511008, Green Right Cheek: 109.753338372386
